dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
d4bb7024-0681-4e7a-86a0-9b95545d7409,"Final Population Totals for Bijnor District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Bijnor District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/d4bb7024-0681-4e7a-86a0-9b95545d7409
7bdbd814-eb88-4e4c-b264-d7cf40857b5d,"Primary Census Abstract for Faizabad District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Faizabad District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/7bdbd814-eb88-4e4c-b264-d7cf40857b5d
6a0bd543-a844-4f9b-bac1-4add954fed59,"Primary Census Abstract for Jaunpur District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Jaunpur District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/6a0bd543-a844-4f9b-bac1-4add954fed59
c397cedd-469d-4331-acf3-840d882b35fc,"Primary Census Abstract for Farrukhabad District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Farrukhabad District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/c397cedd-469d-4331-acf3-840d882b35fc
8bdf6dd7-74d1-4d50-88b6-8870497eebdf,"Primary Census Abstract for Kannauj District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Kannauj District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/8bdf6dd7-74d1-4d50-88b6-8870497eebdf
90ab6b4d-a4fd-48a4-bc81-0adb18742497,"Primary Census Abstract for Ballia District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Ballia District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/90ab6b4d-a4fd-48a4-bc81-0adb18742497
c692b44b-7445-469b-89c3-dd799f23c1cf,"Primary Census Abstract for Kheri District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-20,2022-04-29,"Primary Census Abstract for Kheri District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/c692b44b-7445-469b-89c3-dd799f23c1cf
c999382d-0226-463a-bb2b-12f1801f8302,"Final Population Totals for Mau District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Mau District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/c999382d-0226-463a-bb2b-12f1801f8302
97b1cd2a-5230-427d-95b2-5a9a4ca7404f,"Primary Census Abstract for Ghazipur District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Ghazipur District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/97b1cd2a-5230-427d-95b2-5a9a4ca7404f
fbd6d98b-737d-4b8b-8322-7e417e2be80d,"Primary Census Abstract for Lucknow District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Lucknow District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/fbd6d98b-737d-4b8b-8322-7e417e2be80d
2bf616d2-0445-4383-93bb-cb6a00e8aba0,"Primary Census Abstract for Basti District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-20,2022-04-29,"Primary Census Abstract for Basti District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/2bf616d2-0445-4383-93bb-cb6a00e8aba0
a05f051b-62e1-4957-b3ab-753b8e3b8b72,"Final Population Totals for Mathura District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2020-08-20,2022-04-29,"Final Population Totals for Mathura District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/a05f051b-62e1-4957-b3ab-753b8e3b8b72
ac342da7-0b10-44ac-ac65-7b742cdebd3b,"Village Amenities for Ballia District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-26,2022-05-10,"Village Amenities for Ballia District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/ac342da7-0b10-44ac-ac65-7b742cdebd3b
97331698-076d-445f-8626-13637d69b618,"Village Amenities for Allahabad District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-30,2022-05-10,"Village Amenities for Allahabad District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/97331698-076d-445f-8626-13637d69b618
192adffe-ebca-459d-843f-c16a5769aaf0,"Village Amenities for Jhansi District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-30,2022-05-10,"Village Amenities for Jhansi District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/192adffe-ebca-459d-843f-c16a5769aaf0
